# Created on: Sun Feb 25 17:25:32 2018
# T	K	U	Etot	Pc	Pk	Ptot
1.00107	1.50161	1.65956	3.16117	1.65956	0.500537	2.1601
1.00064	1.50096	1.65828	3.15924	1.65828	0.500321	2.1586
1.00023	1.50035	1.65763	3.15797	1.65763	0.500116	2.15774
0.999851	1.49978	1.65757	3.15734	1.65757	0.499925	2.15749
0.999507	1.49926	1.65806	3.15732	1.65806	0.499753	2.15781
0.999206	1.49881	1.65903	3.15784	1.65903	0.499603	2.15863
0.998952	1.49843	1.66042	3.15885	1.66042	0.499476	2.1599
0.998748	1.49812	1.66216	3.16028	1.66216	0.499374	2.16153
0.998592	1.49789	1.66416	3.16205	1.66416	0.499296	2.16346
0.998481	1.49772	1.66637	3.16409	1.66637	0.49924	2.16561
0.998409	1.49761	1.66871	3.16632	1.66871	0.499204	2.16791
0.998368	1.49755	1.67113	3.16868	1.67113	0.499184	2.17031
0.998351	1.49753	1.67359	3.17112	1.67359	0.499176	2.17277
0.998353	1.49753	1.67607	3.1736	1.67607	0.499176	2.17525
0.998371	1.49756	1.67853	3.17609	1.67853	0.499186	2.17772
0.998411	1.49762	1.68095	3.17857	1.68095	0.499206	2.18016
0.99848	1.49772	1.68329	3.18101	1.68329	0.49924	2.18253
0.998587	1.49788	1.6855	3.18338	1.6855	0.499293	2.18479
0.998739	1.49811	1.68751	3.18562	1.68751	0.499369	2.18688
0.998935	1.4984	1.68926	3.18767	1.68926	0.499467	2.18873
0.999166	1.49875	1.69069	3.18944	1.69069	0.499583	2.19028
0.999416	1.49912	1.69176	3.19088	1.69176	0.499708	2.19147
0.999662	1.49949	1.69245	3.19194	1.69245	0.499831	2.19228
0.999886	1.49983	1.69278	3.19261	1.69278	0.499943	2.19273
1.00008	1.50012	1.6928	3.19292	1.6928	0.50004	2.19284
1.00024	1.50037	1.69256	3.19292	1.69256	0.500122	2.19268
1.00039	1.50058	1.69208	3.19266	1.69208	0.500195	2.19227
1.00053	1.5008	1.69139	3.19218	1.69139	0.500266	2.19165
1.00068	1.50103	1.69048	3.1915	1.69048	0.500342	2.19082
1.00086	1.50128	1.68932	3.19061	1.68932	0.500428	2.18975
1.00105	1.50158	1.6879	3.18947	1.6879	0.500525	2.18842
1.00126	1.50189	1.68616	3.18806	1.68616	0.500631	2.18679
1.00148	1.50222	1.68411	3.18632	1.68411	0.50074	2.18484
1.00169	1.50254	1.68172	3.18426	1.68172	0.500845	2.18257
1.00188	1.50283	1.67903	3.18186	1.67903	0.500942	2.17998
1.00205	1.50308	1.67607	3.17915	1.67607	0.501026	2.1771
1.00219	1.50328	1.67288	3.17616	1.67288	0.501094	2.17398
1.00229	1.50343	1.66951	3.17295	1.66951	0.501144	2.17066
1.00235	1.50353	1.66602	3.16955	1.66602	0.501175	2.1672
1.00238	1.50356	1.66247	3.16603	1.66247	0.501188	2.16366
1.00236	1.50355	1.6589	3.16245	1.6589	0.501182	2.16009
1.00232	1.50347	1.65538	3.15886	1.65538	0.501158	2.15654
1.00223	1.50334	1.65196	3.15531	1.65196	0.501115	2.15308
1.0021	1.50316	1.6487	3.15186	1.6487	0.501052	2.14976
1.00194	1.50291	1.64566	3.14857	1.64566	0.500969	2.14663
1.00173	1.5026	1.6429	3.1455	1.6429	0.500867	2.14377
1.00149	1.50224	1.64047	3.14271	1.64047	0.500747	2.14122
1.00122	1.50184	1.63842	3.14026	1.63842	0.500612	2.13904
1.00093	1.50139	1.6368	3.1382	1.6368	0.500465	2.13727
1.00062	1.50093	1.63564	3.13657	1.63564	0.500311	2.13595
1.00031	1.50047	1.63494	3.13541	1.63494	0.500156	2.13509
1.00001	1.50002	1.6347	3.13471	1.6347	0.500005	2.1347
0.999729	1.49959	1.6349	3.13449	1.6349	0.499865	2.13476
0.999476	1.49921	1.6355	3.13471	1.6355	0.499738	2.13524
0.999258	1.49889	1.63645	3.13534	1.63645	0.499629	2.13608
0.999077	1.49862	1.63771	3.13633	1.63771	0.499539	2.13725
0.998936	1.4984	1.63921	3.13761	1.63921	0.499468	2.13867
0.998831	1.49825	1.64089	3.13914	1.64089	0.499416	2.1403
0.99876	1.49814	1.6427	3.14084	1.6427	0.49938	2.14208
0.998719	1.49808	1.6446	3.14268	1.6446	0.499359	2.14396
0.998701	1.49805	1.64654	3.14459	1.64654	0.49935	2.14589
0.998702	1.49805	1.64849	3.14654	1.64849	0.499351	2.14784
0.998719	1.49808	1.65043	3.14851	1.65043	0.49936	2.14979
0.99875	1.49812	1.65233	3.15045	1.65233	0.499375	2.1517
0.998792	1.49819	1.65418	3.15236	1.65418	0.499396	2.15357
0.99885	1.49827	1.65595	3.15422	1.65595	0.499425	2.15537
0.998927	1.49839	1.65762	3.15601	1.65762	0.499463	2.15708
0.99903	1.49855	1.65916	3.15771	1.65916	0.499515	2.15867
0.999169	1.49875	1.66052	3.15927	1.66052	0.499585	2.1601
0.999349	1.49902	1.66164	3.16066	1.66164	0.499674	2.16131
0.999569	1.49935	1.66246	3.16181	1.66246	0.499784	2.16224
0.999819	1.49973	1.66292	3.16265	1.66292	0.49991	2.16283
1.00008	1.50012	1.663	3.16312	1.663	0.500039	2.16304
1.00032	1.50048	1.66269	3.16317	1.66269	0.500159	2.16285
1.00051	1.50077	1.66206	3.16283	1.66206	0.500256	2.16232
1.00064	1.50096	1.66118	3.16214	1.66118	0.50032	2.1615
1.0007	1.50105	1.66016	3.16121	1.66016	0.50035	2.16051
1.00069	1.50104	1.65911	3.16015	1.65911	0.500347	2.15946
1.00064	1.50096	1.6581	3.15906	1.6581	0.500322	2.15842
1.00056	1.50085	1.65719	3.15803	1.65719	0.500282	2.15747
1.00048	1.50071	1.65641	3.15712	1.65641	0.500238	2.15664
1.0004	1.5006	1.65575	3.15635	1.65575	0.500199	2.15595
1.00034	1.50051	1.6552	3.15571	1.6552	0.500171	2.15537
1.00032	1.50048	1.65471	3.15518	1.65471	0.500159	2.15487
1.00033	1.50049	1.65423	3.15472	1.65423	0.500163	2.15439
1.00037	1.50055	1.65372	3.15426	1.65372	0.500183	2.1539
1.00043	1.50065	1.65312	3.15377	1.65312	0.500215	2.15334
1.00051	1.50077	1.65241	3.15318	1.65241	0.500257	2.15267
1.00061	1.50091	1.65157	3.15248	1.65157	0.500303	2.15188
1.0007	1.50105	1.65059	3.15164	1.65059	0.50035	2.15094
1.00079	1.50119	1.64947	3.15066	1.64947	0.500396	2.14987
1.00087	1.50131	1.64822	3.14953	1.64822	0.500437	2.14866
1.00094	1.50142	1.64685	3.14827	1.64685	0.500472	2.14732
1.001	1.5015	1.64539	3.14689	1.64539	0.5005	2.14589
1.00104	1.50155	1.64386	3.14542	1.64386	0.500518	2.14438
1.00105	1.50158	1.64229	3.14387	1.64229	0.500526	2.14281
1.00104	1.50156	1.64071	3.14228	1.64071	0.50052	2.14123
1.001	1.5015	1.63918	3.14068	1.63918	0.500501	2.13968
1.00094	1.50141	1.63771	3.13912	1.63771	0.500469	2.13818
1.00085	1.50127	1.63637	3.13764	1.63637	0.500424	2.13679
1.00074	1.50111	1.63517	3.13629	1.63517	0.500371	2.13555
1.00063	1.50094	1.63414	3.13509	1.63414	0.500314	2.13446
1.00052	1.50078	1.63329	3.13406	1.63329	0.500258	2.13355
1.00042	1.50063	1.63259	3.13322	1.63259	0.50021	2.1328
1.00035	1.50052	1.63202	3.13254	1.63202	0.500173	2.13219
1.0003	1.50045	1.63154	3.13199	1.63154	0.500149	2.13169
1.00028	1.50041	1.63111	3.13153	1.63111	0.500138	2.13125
1.00027	1.50041	1.6307	3.13111	1.6307	0.500137	2.13084
1.00028	1.50042	1.63029	3.13071	1.63029	0.50014	2.13043
1.00028	1.50042	1.62986	3.13029	1.62986	0.500141	2.13001
1.00027	1.5004	1.62945	3.12985	1.62945	0.500133	2.12958
1.00022	1.50033	1.62908	3.12941	1.62908	0.50011	2.12919
1.00014	1.50022	1.6288	3.12902	1.6288	0.500072	2.12887
